,film,year_film,Total oscars nominations,Total oscars won,Oscars best picture,G.G. nominations,G.G. won,G.G. best motion picture
407,The Day of the Dolphin,1973,2.0,0.0,0.0,1.0,0.0,0.0
408,The Exorcist,1973,10.0,2.0,0.0,6.0,4.0,1.0
409,The Last Detail,1973,3.0,0.0,0.0,2.0,0.0,0.0
410,Tom Sawyer,1973,3.0,0.0,0.0,2.0,0.0,0.0
411,Breezy,1973,,,,2.0,0.0,0.0
412,Clockmaker,1973,1.0,0.0,0.0,,,
413,The Sting,1973,10.0,7.0,1.0,1.0,0.0,0.0
414,Day for Night,1973,1.0,1.0,0.0,1.0,0.0,0.0
415,Jesus Christ Superstar,1973,1.0,0.0,0.0,3.0,0.0,0.0
416,Visions of Eight,1973,,,,1.0,1.0,0.0
417,"France, Constantin Costa-Gavras",1973,,,,1.0,0.0,0.0
418,Jonathan Livingston Seagull,1973,2.0,0.0,0.0,2.0,1.0,0.0
419,"France, François Truffaut",1973,,,,1.0,0.0,0.0
420,Journey to the Outer Limits,1973,1.0,0.0,0.0,,,
421,Wattstax,1973,,,,1.0,0.0,0.0
422,Paper Moon,1973,3.0,0.0,0.0,5.0,0.0,0.0
423,"West Germany, Maximilian Schell",1973,,,,1.0,1.0,0.0
424,The Way We Were,1973,6.0,2.0,0.0,2.0,1.0,0.0
425,L'Invitation,1973,1.0,0.0,0.0,,,
426,"Israel, Menahem Golan",1973,,,,1.0,0.0,0.0
427,Ludwig,1973,1.0,0.0,0.0,,,
