year_film,year_ceremony,category,name,film,winner
1969,1970,Best picture,"Ernest Lehman, Producer","Hello, Dolly!",False
1969,1970,Best picture,"Jerome Hellman, Producer",Midnight Cowboy,True
1969,1970,Best picture,"Jacques Perrin and Hamed Rachedi, Producers",Z,False
1969,1970,Short film animated,"Ward Kimball, Producer",It's Tough to Be a Bird,True
1969,1970,Short film animated,"John Hubley and Faith Hubley, Producers",Of Men and Demons,False
1969,1970,Short film animated,"Ryan Larkin, Producer",Walking,False
1969,1970,Short film live action,"Doug Jackson, Producer",Blake,False
1969,1970,Short film live action,"Joan Keller Stern, Producer",The Magic Machines,True
1969,1970,Short film live action,"Marc Merson, Producer",People Soup,False
1969,1970,Sound effects,John Aldred,Anne of the Thousand Days,False
1969,1970,Sound effects,"William Edmondson, David Dockendorf",Butch Cassidy and the Sundance Kid,False
1969,1970,Sound effects,"Robert Martin, Clem Portman","Gaily, Gaily",False
1969,1970,Sound effects,"Jack Solomon, Murray Spivack","Hello, Dolly!",True
1969,1970,Sound effects,"Les Fresholtz, Arthur Piantadosi",Marooned,False
1969,1970,Visual effects,"Eugene Lourie, Alex Weldon","Krakatoa, East of Java",False
1969,1970,Visual effects,Robbie Robertson,Marooned,True
1969,1970,Adapted screenplay,"Screenplay by John Hale, Bridget Boland;  Adaptation by Richard Sokolove",Anne of the Thousand Days,False
1969,1970,Adapted screenplay,Arnold Schulman,"Goodbye, Columbus",False
1969,1970,Adapted screenplay,Waldo Salt,Midnight Cowboy,True
1969,1970,Adapted screenplay,"James Poe, Robert E. Thompson","They Shoot Horses, Don't They?",False
1969,1970,Adapted screenplay,"Jorge Semprun, Costa-Gavras",Z,False
1969,1970,Adapted screenplay,"Paul Mazursky, Larry Tucker",Bob & Carol & Ted & Alice,False
1969,1970,Adapted screenplay,William Goldman,Butch Cassidy and the Sundance Kid,True
1969,1970,Adapted screenplay,"Story by Nicola Badalucco;   Screenplay by Nicola Badalucco, Enrico Medioli, Luchino Visconti",The Damned,False
1969,1970,Adapted screenplay,"Peter Fonda, Dennis Hopper, Terry Southern",Easy Rider,False
1969,1970,Adapted screenplay,"Story by Walon Green, Roy N. Sickner;  Screenplay by Walon Green, Sam Peckinpah",The Wild Bunch,False
1970,1971,Actor in a leading role,Melvyn Douglas,I Never Sang for My Father,False
1970,1971,Actor in a leading role,James Earl Jones,The Great White Hope,False
1970,1971,Actor in a leading role,Jack Nicholson,Five Easy Pieces,False
1970,1971,Actor in a leading role,Ryan O'Neal,Love Story,False
1970,1971,Actor in a leading role,George C. Scott,Patton,True
1970,1971,Actor in a supporting role,Richard Castellano,Lovers and Other Strangers,False
1970,1971,Actor in a supporting role,Chief Dan George,Little Big Man,False
1970,1971,Actor in a supporting role,Gene Hackman,I Never Sang for My Father,False
1970,1971,Actor in a supporting role,John Marley,Love Story,False
1970,1971,Actor in a supporting role,John Mills,Ryan's Daughter,True
1970,1971,Actress in a leading role,Jane Alexander,The Great White Hope,False
1970,1971,Actress in a leading role,Glenda Jackson,Women in Love,True
1970,1971,Actress in a leading role,Ali MacGraw,Love Story,False
1970,1971,Actress in a leading role,Sarah Miles,Ryan's Daughter,False
